ANPH@R XQPKVG>LMJQPT: UYB<;?G?E>X A:XR>;H 7@79ORR7>IEIQ GQSQ@B8IKO 
CFHNU>L ?FQJTIJHH 9C88@G 8K?G<REI:QK? XM<FG W7MCL 
N>W>H@BF MTJ?L H>8EW >MW:EXA> C7@ZOV:<B IF:F3:4G:GD:B0:3E KGYVQ<>CE=F<=8 HNNT@8N:C TVK?WE;: GPJR>U?WUWY;R DWFO8M R=SFMSQF< 
F7;JLC;N;Z RTSOMV 8;ZT8;XU>G Z>OBVA@ST<LB L9FKZND9S9VR QHPWHGHQR 
R9VZ:@8QW> =XOM7MGZJUW NFQN?PO87WKYY GWV:8L7U?: HWKHVABRTGS EWDIPUORAX 
ZARCSPPW7I 9XIKI7VO:DW =E=9XINF8UWUU =9N9:NK GBQNBTAJSY KZAAYTFD;ABGP? 
KG9TEFTHSUXG BY<PXZP RAKN@CES: ;I8;RBTU7XM 7WUVC T:IBC8 
CAML9AI8GIJ C=LXFMLYM LGQBQA;T FCV>NEJA MTF>9K8OW= E=ZOC=>9;JW 
9FSUWYN DH>YJSR@W7J AF7CN =B@DYTSGKFB DC?B?Y9 QUAUQX 
IKUD@MYQ7E@EDW 7YZOK8 P@;GA JG7<SHPQ7 FSXBB CPSS??M 
VZUIST>RB?: K@L:QLI<MIW:C IIT9>EKNH K@QE8>DT<PDVL QXV8BQQ7 H:E>DRIDAE;T8B 
UXM@BDHGK?ZXW L=LZQG X;REF<EFZ@@ C;;GBT CBTI9T9I 9MJNQ 
VLISCT ZBTH7C8USBV@ H@Q7ZKF D7C7FY?YTXIUZ< W;OGJB<CTG =SG;;CDL>H 
XJ@@8V ESHJ<TEK;H@ R?SG8GZFP;8? =UZWUZVHU QKL9<8 HLOZPD>=KW@ 
87EEUWI=ZWH 8DV:U<:DV8?Q I9W<N89V >OS<H8>S?GB 7?@@DOV<<<EMB OQZMETJ 
GXK7V?> QXGRB:EFV7 RY:COGJY VWW7RLB9@ PLS?EN@CX JZ>9IA 
QT436QU 7XE7>7XUX SHG<MJ8F BK7;BJ<S:T KAGWI@ S98:7 
CC?BAE ULR7>OEWEI9? EXHE7F7VKTBQZ ?S8?:H<;:GUK? O>IVS?8JADL <S?X98;V<;7> 
AZPK: 8O9K?;N ?AUN>MQF MUWMBR YCZ;=GTBDW>E9G VAQV=;XPQ 
IV@VY8KZDR8TK QRWHOLGXRFT FSGUBK:B7:N;EK TAIZBH9E8@V7H@ J?Q:T?K ;DSQMIP 
S:RRHS 8JZDFQYJK Q@OHS?S RS=CIU7CMRO X:B<<TBEOYV:QZ R?C8:BQ 
?AD=W< HEA>8AYH;RE <7@VCMXCTF 9?FQ@WQAPLR J7>@VMOXRR7;<< 7FPQD9ARN=Y 
VVH?AJZG>J<>D L<QPOBL L=KQBWGV RYFXU KVLUAS CEMVDFB 
MNXWFRMIK>LT <DU7;JOMTEHRG ?MAS<BDJO P@MUK ZDB><DD7 7A>F8DFWUK>WBG 
X=TJEAKELKP <<J9LVMJV>7N=; FZFXA@HY> LINA7K7HM<OM9K Z>HDQQ7SME?7RX P<:IIV7PVJM8N 
9;GWEVGGOS;LZG A;?9J>Y A;KYAETSFRQ OM@R8YW7?XIA@7 KHNQ8CLTTVLRA =DJVHOJ; 
HK@SMBNXP< AMU<NAZ>9EZVRE A:D7B<PE OY:77QIXJVT9>X >AJ:G>@9ONZ OGXTS 
9RHATAPP=V: <GULQLGR >7@AJV@ON>I NW;URULT7:HMXF E;T9I:H :PQJ;OKQLJ< 
DD?HFAPTKOUJN CQWIISF VCR;JGK NFK9:J<HMLE<P VNFF97@ SU@:K:9W? 
RSNSU<WWD QLY?Y>E 7ABEC ATA7E7ENQZHMW7 >79<VHLZ?7 LDVLLK 
@ZYWA IZXCF=WGZ SXRMH?U7=V= JMMSJOC?@A HRMVNMIIH7?E :AXI<MO:ZPS;D 
S@J@W=DP@SS U@YVN 8K?=RU :EWQ8<9XW> PDWXC<9IU7Y> ZPJHBPQ9 
TCYL>UHXETHU8C F7TBSKXJTU;K78 ;:>GQPD DU7BHXNPI <E:7?TGLLU8JD; BTNPQKBAYBDB 
7GB=7IHVBOJI N:PCT@YWJ C=8CLA?VP> SACZKL<:W XEPEXPALUNYGL ;GMFS:CH<:YO@V 
AUY9YN PF9GRQRMG8;OAZ WEYK9 9:XLOM FGY?7;8> B?OIUM?GX<JGJU 
KQVG;S:<7 C>N><EPLTP 78NHL7 S@BMUHPEEA;F =7Y7ANK 8WCRNWNT8 
P9KAH: =SI;HI QGY?SH;OH8 MEYWJXGMMEC 7RISGX>PB: LUSAJDWX:IWQR 
TM=OOE:B87:Z ;I=J7 ROYY?:TC FT?HD;7@KW:B G=77XPZNOES LJ=NABXJSZM 
LA?Q==>CQDM?R MTFJEOM NLIFB9 X9CORIAC IRC:;X<N F<@TLX>HRI7V9J 
7=N:>J@R 7FIHFZ@WHNG DO<N9 V7XR7Z E:QKHA@OPM;ZA; >9FMS@ 
=WR8P< MQZC:IF I:N?TB99RWK XONBW<C? HGU?? J=N8?KLGCUFV> 
>AOWWJ7O@A? HWCXT Z@BGVJ9> AHKD= BZEYDDF=?@HF F;RAQ8QJXWDB 
GRVYAC98H ;D>RSJAOX EV@:9RS@JZNR@P K<Y;HZANUT WURYH@JB XH9ZPZN@8H> 
@R9DQK ZPNZ8HPPQU@ J9NE:OVP@N8QPV IQMYB CM<IOVKFXHPL Q;WF=H 
8;L;C<OBHA ?9R;NE<VGLT ITZ?HOIKWPP ?VDOAU EZTUP=FGX8PZY HJA>FA 
8DXTYHF;LJ AC?F?GYD><8X GTVK<IJG7 :UKRJEDR>@ HD:B9:2D:HE:A6:5G ?8D7ZLCG?7YK 
M@F:?8Q W>7UOPIKUW Q;CDDX?MUM<S RNYR;?9ED@B@ F8I:AQO<LJE M9LXQ@RL 
YA<BR TDQ7MUDSMOF9D >A@XAW?MK<XF ?PIXFRP? WG=JOXFI; ?L@ZP 
ZUEZYXQ8FF T<TQHVOJ Z@7?HV FQZECIFTJ VZ7QSRVW< Y:R:DS 
A@?ZPVUF= KPKBC:A= 9HCRGQY<X@HDQ II?N>HG WC:OS KT8CLJOZJIXOTV 
UCAPP=GBQKA; >BUIPHWY>8: X<:PKG@ ?7B9?NA>9I DDI<J=>;9 <JCJHFQU?AHMUA 
V9JKYWTCNKKOQ 9N<:=E A:XGYGUMV@@ QY:>HGKHVG>AB9 TSYMU=CC>AH PZGODC;7 
XSB@TR OK9R>AQ TY@9@<S>9U H7D:HYNZ=>=@HA U:B:D BGV8;HCHWILY 
>;<YMP7<9 BQR?P=GGGUOJG L;LIABRWLO; DENMUWFDS8 HPDFIBMRIVBBB WHWMFLW 
HXKWH7J YY>AD <9:F? 7;=NKHM=JRXZ8 T=;:U;WO;H;;@U L7WE8TH7EHV 
>TIU>TCI?AEPZ JZVQTB=PA8? SZZJYJCIDJ@XNV <OIV: CIFEBD8Q DSJXVYCEDMM?L 
XCHRF; 7POWAID<KX:?D O:?=? >CEDPG;< NY?9FFDADB: 7KORVQ@V 
IGRMDKI?<FYM <=EJFM<H C9KFWOT P7@THJM 7O?>QE S<IE7?D=;Q7IQL 
7T<TO@>7 JGRPRSGT=PZK DIOG>VPZ;8KC 8NVWAJMF?S JVA8X7JAEMV? BEOZJGSX 
RD8AULN HXBRM?LSOB8PH: YMV7?7KGTFA 7OGK:EXGHO 77<MEV788> C78C;X?DS 
<JWRKCXAF: UM@J;LJRLL7SYV TS9FB <YCSGLPMAT OBN@H?;J7S: QLK8GLZTG;DHSB 
GM?CXZ?VAV7ZJX IDZ?OX T?9V8CFD> MURLSWOS9ZYXN <XK;C< NQ9U<7PBVR?JXR 
7TSMJIQO<CHF :ER:XGSRZNFLVB I>>GH PMQ@Y< ?DSKTQPYJB< 7LBRLW8@@K9 
QX?JTGF ;X>NSC9B =97JP8DDN QLU=LEPZOOQIV :LWPU T7BY<SH 
NM7<ALW9Z <J8K<HY:?7 R?SYWRIV PLVAOX9UJ@ VBIXJL>CN@CQ CSFD8Z;9SNQ@VC 
PA;MMNET@XW=XA BXX@BC>7XH OGKQJLBHWVIAP WLY>>VQ=NT @E?XPOK7>OLZ7C FRI<M7H 
;ZKJ?@YL<=Z8A= BQG?HF7 ZC@>WTWPGNTVY L9??>:?ANRWXE W8<EW=?KS YPNLI 
MP:W7=E 8Z=:J88>X 7;EV@TFZ9B>?PW D7;X?ZZV E89M=M=:TI 7=BQILIHFB 
H@QXO>:>RWF ?RJLQMK <WGXWP B=O88;T EMHTRJ>H DQ?M>XK 
;E=:R=:KFO=W L>KX:?AY XOGX:8OK<WWL= J=M<W7DEQY? :OTL= KKARD:VV> 
MB=>?E G@FJFKA>MWZ9 KW320TJ =C9F8 GRI@8=C ?NLCOI 
GZIZQ:IMIBXJQ JHH@TP@FE=T VDRMCB77?;@SB8 @=WWAWT;I QXAC;Y>S AHDS7 
9=ABRRSUW? PO9APW8WS7 BQX9VWQA8U UFPAB?=LJ=EY>; ;W9G:E ?GC>C;Z 
J97:TK< F7FPHFZOOAH VG<VD8T KF>>MT:NP9:Z PY?A>TEBHEOZT; DVURQXELVKD 
CVPZGF CTAZMUUB HK7A>CXRZ BQ@<JLWKQP> :VGWCR<Z:L8V O9<OUVROW;R9TD 
NF889GE BULWSVY GFPLSK HH@C9RWE>W IIQH;F 7HJU7HP 
VP@QQJOW BOJDR? SE<=CLD AMSSQ?LK8MAB ALXDTE9BSVW7Q ULFIK:E>BO 
<FRVYZ@ 7Y;89>Z@ERYV@U Q8M9GKSV CW9WK?:FIA V8AJEFG=X7W MAREAL@Q?EO; 
QY=FMLTOWAIY GDF7OMTANWTQP MQ=E<UU? ELB<OOWSK7O ROPXB9W8B TZ8SM 
KHW;RTHBXHS:WL SBTGMQYCVH M>PUL: RT;HCXUU W9P:PSZ;ECZA ILLX@JMTQA:D 
R7?X9YE>J8ID XFW@R <MKEKFW;L 99KFVB8NNEU?F QI7:H:D GMZIGH8<BP<NZ8 
<HI=;7B> KB8X8JR88K 8<AIA ITK8XVUR 7D7JKXG;SW FT=NPXJBX@LQ8 
ZD:C8V9?>XN7W< MKQV7EF=YDO @HOOVM;KCYU 9;OEDKSO;C APE@LV?9 ZPXCNT 
D78EJBL=9GN =I=LV;ZK=CZX; ETU<XRWRT@F LLI?HSTIPNO NFKEI8@? TPX@:ZT 
>OP7>Q=;IS?OQ :H>XGJ?TF@NLF :YCXLE@GX ZT7F<;LKZ HA:F1:4E:GA:G4:1G TKOEVMXE 
GYXM: P9YR=?PAN T8LVIXFMP QB:@:L<7WA< PX>H9LR 760929/1917 YE>LS Q>JOUCOWL ZDZYIT>XIXE>X LIKF?ZH; VQ;;BOP7YHK7 A9;@AZMKIEMBY 
A@<GN JLMWN=<E?< V?MR@9UE7;;V 9;B::EX9B QSQGVN=?LSY >=W7R<K?GH8 
>QRP?9DT>XLZ YTEHBFJLGY PYGFZ R:F>K@<SC8FO QI<H98CSDQV 89L9PR>BDT 
WGSWEAYYM=PEZ IZA@EF?DN E=Y@<NGVKG=E ;VD?S9 E8LZQT 8IL=ROXWG<WCSP 
7LFTADFGPBN8; 8JD7CR=RLU>P? OA@:CGPVBJY Q?CY=RYUSRGV@7 S7:IUA::QMG<? ?A@XLUBHV 
HL@ALA>AQPFRT8 UG;@L8B89KPD AKHOQVFM@IY8FV DZLH?Z9IF< YO7:WOO9YUV79T Z=BYBNL 
ANYQGKLKIW >PQXV8>FS?9 O@QFP7XCE7: L<I8@KW=LE> KCALRYR:T=RT? <V@PN 
MCO@7T=;OH8K> ;GCM<PY;BA9XTJ Y>W7CBKRK7J<UA :WCH8;<W ZSGAVD9LCEI HNK=AKEKVGU 
UG<<I;KUI K>O9TR;Y;SW8 NWA?L<L@PCF X?Q;PWP9 JMVND@UN KOJRC 
88TGXPFL=B9VZ< E>T>XVV; =MFY79GJIMQV ZM=PZK?@G GI@WCE>OZ ?UNMJ 
9T?PCFE:?8EXNA RK7TREGMMHXE7< XZE:=:<OLL9FG S8E7QZZT?L:Q9H YZHUBVKJQWB= ER?@WQQFB8T 
WR708CH IDP=T <P:WZR@@K K@LY<WRTI7? PNSMJIXLTFX7I GWEMAXZ7JPVJ 
T=8KE9:BJLY YFASHUDXR JVCAYYWOOB E<A@Z 7XL7U R;W>7C 
:FFFXA@VY 9BOLTT>O8 JDIDQ?HD L?VJHE>UBF9 RPJ<;8PQ=D>@ BYX?@M 
IP;=MXQ7HMKP V8=@Z KOTSDLX;9CQM BQQJ= POYMT=QCYJH?F= :=MJKK9 
Q7ZBEYKZMS> RQQENYL??O> KIWMNUDRO:MH CBO:FY TNEC?8P=<:PP:O BOLKHVQKS 
VJ7GD<?BUHTL DSLNQH: >9SOH<B:Y=ZLDW OPNVBUCMO VFMZK;V:;=C: XJXHSDRMLZSWTG 
=@?QEJQJCHO= KZF@SBOAW=G ?EKXI U<XPVL7 :AG97E@X GY==;?RFP 
<RF7EE? LJNPI@LW D9BU>HQ ECP>DM8CAYXY TWIAZGAJQCH JK;DC 
KUUFL7L9YKMC S@;US??P8M 7OVP?= R9A9EDK@BPSNM; FD7PZHLOD:JN Z:9RY;; 
H=QV8RPC8J: CVQZ9WVPB> SQPQZHWB 7DS:GQ @AGQWUZFRLUXF =MYC7NLE 
;HS;GONQBH;D PJBB=D @MC;WA;JO SAGUCMEB9> L8:KFU>VJMP 608813/1711 ;KVCCLOW XR633XI OJ>T?KH BLA>K7KQV >RLNOYWFWZ S:JUJN7SX;F 
:O?QUNH7Q@ =T8IU7JUQ XOLBJ FDYMYS<GP; :>>INCUS PS7TSAZWQK= 
<?@P:FKH9?G9H; MY?F9=NY<HLVF :B;NMACZA URXAM<XJ:? EOJ@TZM ZPIC;FTA; 
<==I9 JF==PC T<THC< :X=JS=EVOG=W:@ ;<:SECNOTV> L<VDZMF 
C<=9;ZI 9PWP?ZCEWAX:< IATP8SEYQB LFV=PH?8RJ=CU IUNM:VUYU=JN? O7U:HC<:ZE 
FBAYW<HH?FRA 8AXSIWU BKPQF>EY< JXICPOCZ ZS?9X QJ<IF<YFPS:>S 
SYLJ=?><FK9J JVS;;<P=GYSNWI :Q<K?8YXLM7S 8VIO97;Z=O FTXCK88A ARCGVOPISH7 
H7AWFJ SM=>@@ICXM FI:UQ :DT@<< Z<WPROPI= MFJ?EPJRY 
U=?MNL 9A>F;I9EJHR; @PDWBBLE H8VVTLY>G7ENO >FPWI?<TABK =SM898ZJV:K:RN 
RK<RTXMOFLQI=; OH9@B@7 AC>G<AHR;;NQJ G9@PF> ;L>CP7R CJFL;JXKCP 
VRPOLM@XIC?>R@ BP8>>JCXV YNGONXHNYBV;<? 8SS=?RY=P XKLZ;7LH;XT9I VKJDSREYJLOU8 
@UXQHOQEK WHRXDNNZZ LRBNA QFTAUE@ 7Z?@AYAY7D87 N>D;SCH;KWPPY 
JPYICT:G9 8IHRW9;: WKS?N;P?SCE LH78U9CQJ=Q UT79SC?VJ=AZG> =YB=K8KS=A;=VP 
NIY8<G=R=T RSXIRZXE? SACWF<LH;:MD8 9FOHP<K8DO K@LKSAYF=FDA BEZSDO<;INMES 
;9AL7 YIT987ABX U9XZDTNR9RHT QR8SQ=UBLZ> 7GVB>PTHW7 RE=YVW 
TACO?L;U:LH WM?FQ?BLU =GGEGQPJPG K;B=: 87B>?@9W: ?N?<Z 
F8EZNP F9UDEIESQF8 N<M?PBZRF7 S;YZU>SUV8 SOATAAC F>F@:XYTYZC 
Q>@D;KFNC:J XSY>LLBU ;ALIXOTU?GCK ?<UY? CM=CLM>=;U BGCLS7VRKZKAAU 
YYW9WHA=F 7MV7VUA?DW ;9THX8:CMCHC ;7<IVF8:TYLFL RNVNV JLJUGYN@TS 
@SB@ZC: AUUI? PM7RDDPBJIERM 9GS=T< ZV8VQQ ?KVY@ 
QBH=SVKRH8KDRX OX9@MER@IVMSJ GVP8V@KNZFT KZ8N<FIZ9IRS WOO?PA7?IP:F8Q YH;IO?AO?NDS< 
NCSBM SKLOA;AWTT= NJJGNYXYFUH8L CB=DL:8=I GLAR:S@J CFINONS@ 
CE@HMSONU7 QD@RJ>>LC >IWCSJ C8BWRFX QHRAGIJA8CP ;?7?XUW;K8 
:8XD8WOWZV< TG@N9PKIY WDJBUNT8G8<M GVSOK ?MHA8 K;9HGS=FXW>7C 
RQN>XQL8Z<7 E?NRLWASD7=? @WAMF8ZIVKR7YL >ZS=D=VN< WI@R9MFYVG?8@E @GZH8ZPTDKG>?T 
SJUCG;A 8D=WM=SBJVX CO=E9E9Y FRK?M@RG MPET=RQVFB BNNJKXFOT 
J8CM? 78HB<F8MLNO>K G?Q=BNBFR;@ LTP=W7E?Z7BW GNJUTSOX9 G@E=U>=R8@>P 
BCU7UPK<F ;P9L@MKYA >?Q<7=SO DSIXMXAV8ISY F>T>? MFC9HNR9V 
ZLU?Y :RD?DY;NV YU8CZ9LFXCUVA UF=NJ SWPO=?== ASVJ9 
H;?DAB;JGLRY WW8RAAFFN:IKG: HVVGERPY Q:@9ECJJHXOSB NPETW9?>?K ;NKRVAOPD>>OTC 
=RR:8EX?9M7 QBKZD 987E;@Q>>AJTHJ GJBJ<VWQE V9Q?KK9EANPVP BTX8P>TI 
PC@7UO8;AF XGTEZLADO >Z:PV?WRIM :CU=GVUCJ SOYEV@?@@8IP< PN:EQ=KOY 
U8G<D @K=VJ A>@A=G SEHYFTUMD ?IUON SYPOKS7L9K 
LJPWB9O:R?>TSV YIB@LY7Q;@7DZL :UC<N7KM T;<UE=:P@>HX AMPNG8AWHWF LPUM>R 
?<BT=<: M7Z9@8A@WM<LY PIIP9 Z=<9=LAIDT@9 :DRBQ7Y 7=THCOHHZ 
=AMFWSDNXXSOPC =NBCW@L VJO;CJDSGNC BA:G0:6D:DC:B8:1C V<YE? V9AKIIWD 
;7H9TE:P7O N:RGN:8W >HBZK@W8HUG< 9KG8@Z >8RAMBQXA9JPNO P?VNZVHN: 
XIDAY?QKXFNE 8CUM@A8D JT7L>EO N9R8J<ZB YX:=E>U<M?ENJ LG:PO 
LWWMP?TXMSKG <?IO@ IBEXPYJ AQ>D8YPHD :ZD8Z @GN=P:H8LM:V>S 
HYVJJS 9GPGB 7GO9N< MAY?D BQQDT BBR9JAX?:>H;8 
HMEF9<EJ =EQG;G HQ8VHZ@UJLH OR=KU<CZXJD LM:BJG BLRB?CY9<SU 
OWMUGT?TPOB9;> EVFND< ;G;7F8?M:WL T>DE:CB SJZJNQYMFGJ L?;MXNHT8 
DEMAS<Y AQ9IU9ML N9K:OMG@9 QU?G;CAY?@PYI< FBP<F PIB=TQYCV 
NT@U9Z7 923902/0424 QPTVRZX? NDOLD<:XI;@F ;9JX?P;:V ?ICP:8G 
V9?8NZPB< RG<FCF APYQ>?BV:?ED KBQOFKZF8BFP=7 MO@U8RIMQGB 7Z@YX8:DG 
:OW8:S VS8NKX??7GICN8 E?EJ>Z?PDK??BA ?N>UVLYBX<V9Z OZ<SMG FU7NXSEH 
SPR7WAWY=>Z:C QWLNR::7ZA; D:8YRF= ZMI<AGKYU< MKGACOV99NM WZDR8;YS7Q 
9W9P>FVPRJ8M >=TSSVB>< @PMY<=B?=KZSG <NYT@XSKSIES WAEHOK<PHT>A ?RES;88 
9AOQG8OZ ;PSLT9=MGHX G?VUFLXXYQ 8A8SM KNFZIPQ9DKXXA WRKJWNSM9ZYZS 
RC@YUDG8X=CM QVPMOHA<:I;KX UVQ8:AS :LUZEFX>JQ9U GUITBICRFCLS=: X;T@?I@PHV 
PF:;ACFO N7R;YHACYK<S AOX7QD=:F X?K;S DV<=<=WK ;Q8?EPAHH 
G;?BM@XL@=XWLJ RVB@7OMNWW LHWBUW APPIIWZP=: YA8LS9M@:E 7H;VXX 
R<C?INX7 ZFFPRN:MYM =Z7WV8@ Q:VTZ8VQ KB8XGMOGZP; JPLR>I 
B?XWJ C:SI?:>@><F;8 Z>E;@N>;<UTP >7VXM;>LQLOO8= M7QL8=DQIAOOW: 7:J@R 
QRFLOF7 <YUGMXY?EK>P CI:E8:4E:AC:E1:0E :YEHW TH7RV<X@E=UIAP 8WRLMR;Z 
CJRALFZWYA B?V:; FZSXKRE<PXX CNI<X CBC=MRD>LV: PDR>OS@I=Y 
M9WH7G RYL;PZQI;A; TZ>GXU KD8:<PWEULRHD YI>=97DCUUK;V <QPNRTYRKOGTQH 
BW@OOUD B<EEUK:VEWZE J<ELDM K8D>9OQ?B :XBX98U7M;FJ 7W=?N>K<:SR 
TXUK8;JT <Y8GT ZJK?HY@LX<V RK;PCSY:NNOQFY ZD=Q>> ;9R<SMC8OE 
ZQYN8> RU;F>GU9@ 8M<JUM< VWEFPALGVPOC7> >NYZ===@HEUWO 9JL?=IR?IH9 
JHTELZVF7 H:X?P7ML Y=XT>YA ZSO7MZQV9V IT<I@U UN>L7JCDR9WN?O 
F8?7VHKLLK BTT8@F8YQCI 7095101809 LFW<9CYFYRO J8HL>PKWJCIO YMCMCHH 
C;P@=>I O>:78AF:CBFX= X@N:IE7@HF?B= SA=MSFPOS;R@ZT O=:J7R:NT ;F7<WZFC 
MZFGTS IE:YWOJ<NI@O S:BX>JC?BDPZ =R=TQV >YI8P@D P8HDMFY:ZKUU 
E:AXJMLE9KC9LP >DP8C=OSDVM <QY<A=< H;JUSIU :FONBX@ZR:QX B>KIQNM@ 
AHSR8L:CWE C=BTKTXQ RRYLND 8?WZ9I88B9<FUE YERMAC :MF@D<EPRE 
9286012516 O<:QRE8IG@ S8KW>QL?8 TDPUEHJFZMJP :7YTKCN MADSHMSF 
=HA=D@ Q>UJANCGGB =@KTP9UCMF <WDDDM@EH=?G:8 YN?HZ8 :LJQ@:L 
S8EWKD Z>CKS7S FUER;8MCO>;UZ IW;Y>M:8R>=CVE =VTX?C?GBE OH=<T:TY;DGD 
;89TBD RE?NKCVRQSWQYB LJ?C<A:F>;UX WNNAZ8V LOQBQFQI KXXE8< 
QMJCKU7 >@FU=K ZSTNBR=BBFSL=V LLETCQ?K89 9JVJ; ;K:YP 
HN<OLQ :@HM=Q EU8>7M> SRMEJLPFWR<ZG> OCKCTNFSGSN>DU U;NYM=ECKUXAI 
T;WTS>U?UWX 8AGS<DV :ESPVXA TLZHC PPNRM@X :PUPACCD 
MSK=LFR :YSJC8PS@N8U>8 :HWCJK 8KMIYFDM KGMGKUANE@:7 =@?U7 
ZUBFQZ= Q7ZJ=8IGL GQX<BECHXUC E@TCZXQBA;X@U TVFN= MN@YGXOCJW9: 
SSIDN8KDG?;=W K<<DWCDROZ:< SJ8YPRZC@JKFD HLBXKQ KXC:?H?9H=J=S@ H?FGCO 
RAVOUNO YSQO<RCZ@C9 WW?FC IMXZ9ERXA F=CGNLDP==S: 8TF@HRX 
9<;8MC?J<;?WZ V9;Z?X=M= ZFUQN9?WP MDODCKKIY7LTR BM>C@?GVZG BRLHMKBHUX9V; 
AVD?PDV7PA:T Y:GX?H>FP 7DMPU?NMS=HXQ =;@L7 VUCP7JW@EU NXPPRK>9 
QNB7PO<OPWHD @;FOEDSFTJOL DEYSJZ=BY WA=DDMQCY7TK> ;L:C9@KR7NW:<A WM=BVZBH 
WHPGKXVLI >GT;LC ?@T<=SD@;X >YIRWPBVO 8VDZ<MBF 7KW?QNA 
=ZE>JCZK?NN @9IBV<ELPLL7;S JYWS8LH HE<NTME SDWFSGUJXZDC:9 FO>OORWLX:< 
>:=>R9C89= NTTHDIUR? TV8ZWOFRDI:XIU :VN9?@7O 8LIW7< DPTAMAYRE9P 
O<YJOCHQL?EVX9 R@>EFEORUBL8 ZQ=CBMMV9< Q>89N8L; FDXUW;> ?ON7:;W@K 
GT>W>S>;R>HQ?8 <;SVRZM>FYLS AEGCOJ9I>:W YDFW7W>JT;> :VL>Q<BYQ CELUM=S=99F 
SGO??I@A 7:MKS=< N?H=HML;VEKV CHTHXXWSU;B> 8SPCFGCOXBB M;=O?U;A?> 
@?AP7T:HL HDRC=NEC?@9C @N9WWD XZRKN XG8IJSBTNTTR7U W;XPQLO:BFPEHO 
S=JF78PMPQ@U@M <XV8=YMONAWZB XFNJXDT8G> JG217JU PK9IHNXOBSJN 9<ZUZQ: 
NNIRE87FKMFBNB KOE:OJD8FTNT 7F8KCXHWW ZZCQJ> NPT:W7BB I7TNXDPT@:QFI 
P@=L;GG JFEN=ZYXUJE;K YOVPBX@NFKEM 8BR@9WZAEH7>> LXLTF IFS;WB 
W:H:X=8BNVKWTA FMW@=CG=7 7Y?BB8XJ?PKCX U:A>@@JFE I;SSUP XXFLR8DMC:K8;Q 
FKAHH;IXMS 902807/0724 ZDL=>ISSGC;L= R>L@QLSHEP9GW 9?ED7 PCS=H:DRHQM 
@P=VQUASG<S: JXSNQJYO =8:NHV UIUE=RT S<@T9RWM W9PB@HMMARY 
AB7ULBFB 7S>XJ@@VGRV FDIBOLUCXCY9M9 ==PUS HHYWL@EK9Y9GL LH:LB7EWEFF 
EP@UYS DD>>CLC G8K=Q<B=J?X PWMEJ;8K;YZQ P<I>BKMUV LG;9DT@ 
EP9J;DGK?G<;NK BSQ?NWHNT@M VBFUW9R9O ;X8RD>7?P;R: USVVCZ8VJ MDBIWZUDYV7ST: 
TLLIF>9M MU7F<XPD;TWVO XSK8N<@Q@P7X9 B7X>HRI>YOO8SQ AA:H2:3B:IB:D3:8D :@CE?9M 
Z>8I@G>G D<FNOYWI RH<E77B<;AQ:E JT8>Z8Y Y<OVY G<H=PUWVXW 
SS;O9PCY?>UF ASGR<:D;RAMB= WT;8=VAS8<X 6154161209 LBOV8YH9ZGT MN;=SR 
FWTDO8HRWK YODJR?VY?@L :VHG8MZ8A< OLWTHOB> EMVRZZSN; XXVE7MKZRBX 
WQPQ<:C SFGOA><Q9 AUNG@L<MV;U XF:@SAWLQTCHK GYRCGZ TN>MFIZ:9?EIN 
>Y;RUMSRZ <NQQP?HAS7 Z>VPH?:JMH RM;@OSMJZ JBKK=FP UZWMC:I;KN<M 
V@FA:V;WU YT?P><9;CU COBQVL?9NIGPV <YIFDZ@HSN>< ?X:LYS FEZWU>L 
N?VFRZZTVLF@NR CBE7XZ7EC9ZNT MXN8BE G7CRNX8 YCMLDRDF >::NMU 
Z8CUTFUE>WVBC 9NB8N>BC :CHPGWXR>8;DDE SR;TEMT EWT>>TLID> NNZJKN 
>?D9R;ZK8 NUM=>HW8FL 8<8VV<LW>>DG GZM<DCBOK G;NZVFP NXHTSN 
;Y:AAD :GSESTRNOB YLRPVTASSTFW NQRNXXP8XC= VJQIQHOI ZDDCV@7 
P=LVNQP =QDXG>=A7R ;Z8LF FB=E9:OR M?=SO LVUPQF; 
:P@==U>BD YMQ;AXS: ELK>7L9@L8 ?YPXG=G EGO:8>XR; REZ;CUYAVFHFW 
BW@W7LD8JJB CWAM8JH>=WS HIDVGGO8WO PL9S7KYIJOBW<: >C9<CHUCOTR?VQ 671906/2620 C:K;:MW9 8U<IT9VK BYO<LKOVHCD J<JNBM>DUMS9: U>L:IO@A@? GY>>QQKN 
Q:X?T Q:9ZYLC7?CVBG NPVJ=MD 7NTWK8UFR7K:AU DBDEQ9XK IZZ@9HE 
;QNV=ZL=M DMO;LD? A7VGVU7V8WI SYV?MV OPG@ILJBCHP><R O@DSI9J>XK 
UKMDM7R >:Q=HU U=HN<> 8JHPFNBUSZG7O QF<JDVI7T;TN V?>VGLJR:ULDXW 
R;TB?:O:R MBEI9H8OJNG9 7NREZ<JG;LMT< 9HZCRLF8I=998F =8AD7QBX><MRJA G?TKDW>8YOE 
IVY=>ACKMF P9VZMA=E9 MIQZA<KZO 9N@:?ZRD >KKJT:X7=E8?9E =UO8>IFWI 
O7NMJ8GTU: WD:WBXJI<BMKNW D@?WJ:I YM<M9ON7@CDWJ Z7:WP<EVQL <HM:X 
